1,Explosion Rocks Baghdad Neighborhood,"BAGHDAD, Iraq, August 24 -- A car bomb exploded near the gate of a US-funded Iraqi television network in Baghdad on Tuesday, killing at least two people and wounding two others, authorities and witnesses said."
1,BBC reporters' log,BBC correspondents record events in the Middle East and their thoughts as the funeral of the Palestinian leader Yasser Arafat takes place.
1,Israel welcomes Rice nomination; Palestinians wary,"Israel on Tuesday warmly welcomed the naming of Condoleezza Rice as America #39;s top diplomat, but Palestinians were wary, saying the new Bush administration must put more energy into the quest for Middle East peace."
1,Medical Journal Calls for a New Drug Watchdog,Medical researchers said the U.S. needs a system independent of the F.D.A. to detect harmful effects of drugs already on the market.
1,Militants Kidnap Relatives of Iraqi Minister-TV,"Militants have kidnapped two relatives of Iraqi Defense Minister Hazim al-Shalaan and demanded US forces leave the holy city of Najaf, Al Jazeera television reported Wednesday."
1,US to support democracy,"WASHINGTON, Sept 18: The United States has said that it would reiterate its support for a  #39;fully functioning #39; democracy in Pakistan if the issue of President Pervez Musharraf keeping or giving "
1,Command Failure Seen at Fault in Beslan Massacre," MOSCOW (Reuters) - Security forces bungled the handling of  Russia's worst hostage drama because nobody was in charge and  special forces were not ready when the shooting started,  security analysts said on Monday."
1,U.S. groups accuse China of failing to stop intellectual property abuses (Canadian Press),"Canadian Press - BEIJING (AP) - Adding to pressure for China to stop rampant product piracy, two major U.S. business groups complained Thursday that abuses are getting worse and warned that lack of patent and copyright protection is hurting high-tech investment."
1,Kidnappers Release Seven Hostages in Iraq,"BAGHDAD, Iraq - Kidnappers released two female Italian aid workers and five other hostages Tuesday, raising hopes for at least 18 foreigners still in captivity. But insurgents showed no sign of easing their blood-soaked campaign against the U.S..."
1,Colombian Military Kills Militia Leader,"A former U.S.-trained Colombian army officer who later joined an outlawed paramilitary group was killed in a clash with army troops Tuesday, the army said."
1,Kite festival begins as prelude to 350th anniversary of Taj,"Agra, Sep 27. (PTI):A kite festival today began on the banks of the Yamuna river behind the Taj Mahal as a prelude to the 350th anniversary celebrations of the world-famous monument opening this evening."
1,Falluja troops under heavy fire,US marines in Falluja have come under sustained attack from several different directions in the headquarters they have set up in the Iraqi city.
1,Chechen capital empties ahead of election to replace slain leader (AFP),AFP - Chechnya's capital Grozny emptied as residents fearing rebel raids fled a day before an election to replace their slain pro-Moscow leader.
1,Does Tsvangirai outcome suit Mugabe?,"On hearing the verdict there was a broad smile from Morgan Tsvangirai, applause from his supporters and tears of relief from his veteran attorney."
1,U.S. Raps Cuba on Its Presence Abroad (AP),"AP - The State Department is accusing Cuba of training Colombian rebels and says it is troubled by a large presence of Cuban personnel in Venezuela, whose president, Hugo Chavez, is a close ally of Cuban President Fidel Castro."
1,Brazilian Soldier Wounded in Haiti Unrest,"&lt;p&gt;&lt;/p&gt;&lt;p&gt; By Joseph Guyler Delva&lt;/p&gt;&lt;p&gt; GONAIVES, Haiti (Reuters) - A Brazilian soldier with theU.N. peacekeeping force in Haiti was shot and wounded Saturdaywhen peacekeepers and local police faced gunfire in a crackdownon armed gangs in the Haitian capital.&lt;/p&gt;"
1,Chinese official moved as Hu consolidates power,China #39;s Communist Party chief Hu Jintao moved a close political ally out of a problem-plauged province on Monday and analysts say he will make more personnel changes as he continues to consolidate power.
1,British hostage killed in Iraq: TV,"The British hostage held in Iraq by a militant group led by al-Qaida ally Abu Musab al-Zarqawi was killed Friday, pan-Arab Abu Dhabi TV reported."
1,Leading Cuban Dissident Writer Freed,"Cuba #39;s communist government freed dissident writer Raul Rivero from prison Tuesday, the latest in a series of releases apparently aimed at cleaning up the island #39;s human rights record."
1,"God Has 4,000 Loudspeakers; the State Holds Its Ears",The Egyptian minister of religion decided that one official call to prayer would be broadcast live and carried by all of Cairo's mosques. Many of the faithful objected.
1,US blames Islamic charities for funding Iraq attacks,"MARK COLVIN: In Baghdad, the family of the kidnapped head of CARE International have pleaded with the British Prime Minister to stop even speaking Margaret Hassan #39;s name."
1,Al-Sadr Calls on Militia to End Uprising,"BAGHDAD, Iraq - Rebel cleric Muqtada al-Sadr wants his followers to end their uprising against U.S. and Iraqi forces while he considers forming a political movement, senior al-Sadr officials said Monday..."
1,Pope pleads for peace in Iraq,"POPE John Paul today issued a new appeal for peace in Iraq and the Middle East, condemning the  quot;horror quot; of violence as well as  quot;the terrorism that cruelly targets the innocent quot;."
1,Danes find a bridge to love (Chicago Tribune),"Chicago Tribune - The train is sleek and fast that each night carries Christina Reves away from her country and toward her husband. It races through Denmark's scattered marshes and clicks over a bridge and across the water, stopping 35 minutes later in Sweden."
1,The China Post,President Chen Shui bian said yesterday he does not expect China to ease its military threat against the island after Chinese President Hu Jintao took over as the country #39;s top military chief.
1,Fears grow for Falluja civilians,"Iraqis trapped in the besieged rebel city of Falluja face a humanitarian disaster, aid agencies warn."
1,Annan asks China to play a bigger role,UN Secretary-General Kofi Annan told university students in Beijing Monday that China should play a bigger role in global development and world peace.
1,Bush Twins Host Pre-Convention Party (AP),"AP - Barbara and Jenna Bush, the president's 22-year-old twin daughters, arrived like rock 'n' roll stars at a Republican convention party Sunday, complete with red carpet, cameras and paparazzi shouting for a smile."
1,Thaksin vows  #39;iron fist #39; against rebels in south,BANGKOK Prime Minister Thaksin Shinawatra headed to a Muslim-dominated part of southern Thailand on Sunday after promising to act aggressively against militants and illegal weapons they have used in deadly attacks there.
1,HK legislative poll points to the future,"When the British ruled Hong Kong, as pro-Beijing politicians are fond of pointing out, the territory #39;s people had no direct influence over the way they were governed."
1,Rebels return to 'cleared' areas,"In Fallujah, US forces are going through 50,000 houses one by one. But insurgents are coming back."
1,Blunkett is expected to resign,"Home Secretary David Blunkett is expected to quit on Wednesday, BBC political editor Andrew Marr has said. The news comes amid claims he misused his office to fast-track a visa for his former lover #39;s nanny."
1,Cricket: Warne back to face NZ,Australia's Darren Lehmann and Shane Warne return to take on New Zealand.
1,Copter crash kills cleric,"ATHENS -- The Christian Orthodox Patriarch of Alexandria was killed yesterday after an army helicopter transporting him and his entourage to a monastic enclave in northern Greece crashed into the sea, according to government and church officials."
1,Jitters before assault wearing on soldiers,"NEAR FALLUJAH, Iraq -- The hulks of the 69-ton M1A1 Abrams tanks were barely visible on the dark desert plain, but the rumble of their engines filled the night."
1,Anwar supporters defy police ban to welcome him home to Malaysia,KUALA LUMPUR : Hundreds of supporters defied a police ban to welcome former deputy prime minister Anwar Ibrahim at the airport on his arrival home after back surgery in Germany.
1,Court Votes to Strip Pinochet of Immunity,An appeals court ruled Thursday to strip former dictator Gen. Augusto Pinochet of immunity from prosecution for a 1974 car bombing that killed an exiled Chilean general and the man's wife.
1,Hurricane Jeanne Takes Aim at Florida,"WEST PALM BEACH, Fla. - Hurricane Jeanne trekked westward Friday on a path that could lead to Florida's east coast by Sunday, setting off another round of storm preparations in a state still reeling from three earlier strikes..."
1,White House Rejects Trade Case Vs. China (AP),AP - The Bush administration on Friday rejected a request from 30 members of Congress that it bring a World Trade Organization case against China charging the Asian nation with manipulating its currency to gain unfair trade advantages against the United States.
